name,votes,all_star_share
Michael Jordan,1121285,0.053
Magic Johnson,1022122,0.048
Hakeem Olajuwon,831339,0.039
Larry Bird,747005,0.035
Dominique Wilkins,694354,0.033
Charles Barkley,687785,0.033
Isiah Thomas,666895,0.032
Moses Malone,601520,0.028
Alex English,521080,0.025
Kareem Abdul-Jabbar,507612,0.024
Karl Malone,499963,0.024
Xavier McDaniel,474087,0.022
Fat Lever,468339,0.022
Doc Rivers,455391,0.022
Alvin Robertson,440925,0.021
Clyde Drexler,430880,0.02
Tree Rollins,413558,0.02
James Worthy,409712,0.019
Calvin Natt,396511,0.019
Darrell Griffith,395585,0.019
Steve Johnson,391672,0.019
Terry Porter,391567,0.019
Jeff Malone,356497,0.017
Kevin McHale,350912,0.017
Larry Nance,350433,0.017
Bill Laimbeer,349247,0.017
Mark Aguirre,347357,0.016
Robert Parish,342373,0.016
Dennis Johnson,338474,0.016
Adrian Dantley,335865,0.016
Kiki Vandeweghe,330716,0.016
Jack Sikma,324426,0.015
Sidney Moncrief,323536,0.015
Michael Cooper,323134,0.015
Derek Harper,322711,0.015
Rolando Blackman,314765,0.015
James Donaldson,310100,0.015
Ralph Sampson,309325,0.015
Chuck Person,306645,0.015
Vinnie Johnson,299084,0.014
Buck Williams,291116,0.014
Bernard King,285588,0.014
Kevin Johnson,275556,0.013
Mark Eaton,267646,0.013
Randy Wittman,260221,0.012
Sleepy Floyd,248327,0.012
Kevin Willis,247285,0.012
Ron Harper,244158,0.012
Charles Oakley,241123,0.011
John Stockton,241117,0.011
